10 13619
4 7 32
7 90 98
2 13 55
1 46 5
3 35 11
8 5 20
1 19 1
10 8 42
1 18 23
1 42 53
4 4 49
1 15 56
3 34 78
3 29 62
7 61 78
7 49 42
3 25 38
1 24 1
7 80 84
5 20 45
10 17 23
4 31 24
3 16 30
4 12 9
4 26 24
8 6 54
7 3 30
8 43 65
2 29 20
6 10 1
5 8 19
5 21 45
8 23 56
6 45 17
4 57 15
2 31 71
7 25 24
3 25 7
4 14 11
2 32 15
8 11 29
8 60 51
7 13 37
4 34 56
7 85 20
5 30 28
7 45 86
3 22 55
1 32 26
6 37 29
4 26 33
7 22 90
4 27 12
4 59 49
5 7 51
2 38 56
3 5 42
6 43 6
5 25 42
7 6 36
5 55 42
1 27 41
5 12 52
4 11 60
5 63 2
5 29 41
2 4 45
5 24 58
8 73 37
5 52 39
7 29 17
1 47 18
10 36 32
7 62 97
7 65 62
5 1 30
5 9 51
4 41 66
1 43 1
1 37 16
1 40 26
8 28 44
8 6 80
4 66 8
4 53 11
3 13 38
7 20 11
5 56 40
1 2 70
5 35 47
4 7 55
3 28 78
5 24 6
8 62 72
7 52 85
7 48 77
7 51 29
8 3 25
8 60 23
2 38 8
10 2 43
7 5 8
7 71 61
7 87 90
5 65 63
4 57 25
4 53 41
4 64 28
5 67 44
7 10 1
5 22 52
7 85 15
4 47 30
2 15 60
3 4 20
8 55 33
2 3 78
5 60 9
7 64 13
7 55 73
3 34 34
3 12 22
7 50 36
3 15 82
8 55 42
2 38 47
1 37 36
4 21 70
4 17 37
8 32 76
4 53 22
2 7 13
7 72 94
5 12 17
5 51 3
5 18 20
4 4 61
8 65 49
10 26 9
2 28 60
2 7 69
2 37 9
1 26 57
10 15 39
6 17 25
8 3 70
4 23 39
4 25 53
1 2 9
5 47 13
7 5 37
10 18 2
8 68 42
5 32 44
2 38 73
5 13 77
7 36 21
1 17 53
5 14 6
5 4 65
8 42 21
6 21 42
4 33 6
1 37 70
8 77 27
1 46 34
4 52 19
8 9 41
7 81 36
3 3 70
3 32 50
8 72 54
5 24 24
7 21 54
5 24 71
10 23 35
10 11 15
5 19 33
7 83 98
10 6 25
2 25 44
5 62 45
3 33 23
2 13 11
5 35 27
1 42 36
2 27 30
2 21 72
8 58 27
5 47 18
4 47 47
5 28 13
4 51 3
3 27 24
10 6 17
2 28 5
4 36 41
6 41 29
10 36 25
5 28 74
4 2 24
4 25 47
5 36 55
8 33 71
4 13 10
1 8 48
6 31 43
2 34 27
4 45 27
4 10 16
6 20 5
5 36 70
3 6 11
8 72 9
5 24 39
4 4 9
2 37 5
2 4 14
7 24 93
7 60 10
6 13 39
5 69 8
4 59 19
8 1 49
5 31 80
4 43 65
7 58 39
4 67 48
7 81 22
8 48 9
8 17 50
8 79 38
1 39 52
7 8 15
10 47 8
7 28 30
4 4 70
8 80 57
5 17 29
4 32 36
7 14 94
8 34 53
6 8 46
8 67 33
8 40 42
1 46 16
3 28 89
6 1 10
1 40 4
4 45 49
5 36 8
2 25 66
1 25 52
8 36 28
5 12 14
7 59 44
10 18 18
3 19 43
8 9 80
4 31 47
7 2 55
6 3 36
10 18 42
7 73 86
4 54 2
5 47 7
3 19 29
7 88 18
1 11 12
8 5 40
10 20 4
7 90 4
10 50 12
1 19 40
2 5 63
7 3 86
4 6 47
5 59 75
8 57 58
7 30 64
10 31 20
4 42 11
5 50 4
6 34 30
7 7 18
4 38 44
1 26 32
1 34 42
5 36 7
7 77 21
7 59 68
7 61 23
3 28 16
1 26 37
1 50 25
4 22 70
2 28 18
4 59 17
8 73 51
10 38 30
1 34 1
10 33 13
4 68 5
6 16 35
8 39 33
7 47 32
4 38 39
10 42 22
6 37 43
5 59 36
2 39 15
4 12 39
10 26 25
8 76 29
3 1 31
1 35 21
8 50 49
8 71 52
4 7 50
7 14 84
8 40 45
2 37 10
8 53 46
8 27 27
8 4 37
2 12 45
10 24 23
4 66 45
7 13 95
4 35 5
4 65 51
7 63 50
1 12 65
8 60 1
1 15 60
1 36 25
8 39 41
3 31 54
7 32 10
4 43 68
4 40 2
7 39 41
8 83 72
6 9 12
8 25 21
8 24 24
8 79 54
5 19 54
5 29 3
10 54 1
2 29 24
7 51 47
7 72 41
3 30 87
1 34 58
7 48 40
8 75 34
4 35 59
10 59 38
7 51 20
2 17 78
7 38 2
8 5 13
1 35 34
8 2 44
5 5 66
8 73 34
7 46 19
10 46 23
8 49 32
4 45 20
8 26 49
8 66 18
1 43 9
5 46 12
7 31 77
2 23 16
3 3 61
8 68 41
10 37 21
8 5 48
4 1 17
6 14 16
4 20 22
8 5 56
4 16 53
1 31 47
8 28 66
2 22 51
5 31 11
3 18 64
4 70 3
8 27 23
8 60 27
7 53 57
8 71 75
7 53 41
1 24 21
3 33 82
7 85 77
8 43 51
10 32 28
5 23 10
10 20 7
7 67 31
3 6 14
4 40 17
4 5 17
4 39 11
5 63 1
8 78 15
5 51 72
4 21 36
8 9 32
7 88 55
5 55 35
8 10 34
4 34 54
7 68 43
2 31 76
7 48 45
5 53 76
8 4 23
7 76 16
5 56 45
7 40 4
4 15 63
2 10 71
4 70 15
5 37 23
2 36 52
2 35 73
7 88 40
10 27 25
7 6 7
8 66 70
4 20 51
6 41 38
7 8 64
7 16 62
8 83 27
1 27 68
8 78 69
5 47 71
5 11 24
8 50 7
4 24 68
7 89 36
8 78 16
8 57 41
8 70 57
1 25 68
6 2 18
7 35 47
8 30 45
4 45 45
1 50 23
7 38 39
1 34 25
8 84 17
5 22 40
2 30 62
8 78 27
3 18 88
4 10 49
6 3 1
2 25 71
2 36 29
4 69 49
2 1 61
5 43 57
1 16 50
8 69 26
6 43 22
8 1 10
7 50 27
4 22 10
5 7 30
1 34 2
7 24 67
6 4 17
10 21 16
8 46 78
3 7 14
8 50 72
7 39 34
5 1 17
7 9 26
7 22 17
1 24 57
5 15 20
7 46 14
7 64 40
7 74 72
8 70 65
7 11 100
6 6 2
8 52 54
7 84 75
2 38 25
4 30 27
2 17 38
4 19 50
10 5 31
5 70 44
7 10 41
5 42 71
8 76 17
5 62 63
5 18 48
8 73 53
8 46 52
7 84 41
7 76 52
4 20 45
8 55 44
7 85 62
1 2 12
8 25 49
8 51 67
4 33 5
2 12 78
5 20 24
8 20 32
7 42 30
4 12 34
10 59 28
3 17 13
7 26 4
7 25 69
4 54 34
8 48 33
7 86 4
4 20 25
2 10 13
4 50 44
4 62 13
4 41 5
8 38 35
1 6 2
2 21 50
5 59 9
8 82 15
8 9 36
6 41 43
8 49 67
8 43 79
4 19 4
5 18 61
6 44 29
3 35 55
8 45 46
2 35 64
8 67 58
7 4 72
4 64 60
1 43 62
10 39 20
4 63 65
5 58 28
3 8 53
3 10 90
10 21 4
2 11 31
5 28 30
5 40 32
2 19 71
1 23 36
7 13 35
4 16 68
2 9 40
2 6 38
2 5 57
8 73 8
8 70 79
8 4 12
8 8 17
5 17 70
4 15 7
8 12 66
3 5 50
10 35 7
3 26 67
7 60 96
2 14 56
8 42 29
3 26 52
1 1 17
3 35 72
4 57 44
1 31 1
7 1 61
1 14 64
8 63 40
3 27 7
5 29 43
4 12 49
4 37 30
8 35 12
2 22 20
5 65 69
8 17 1
5 69 14
6 29 47
3 15 65
8 84 31
7 11 19
5 29 20
7 19 56
3 18 65
7 41 83
10 11 7
8 14 25
8 52 6
2 38 41
8 32 19
10 51 11
7 55 32
8 49 62
10 58 39
2 23 61
7 40 17
7 34 13
5 13 17
10 13 25
4 15 51
3 14 83
8 54 8
8 60 28
3 30 89
4 61 69
6 42 17
2 39 22
4 8 20
8 33 32
8 46 48
1 2 49
8 53 27
8 4 9
10 32 8
4 14 67
5 58 55
2 14 11
5 6 18
5 32 39
7 83 95
5 63 15
1 14 28
5 37 43
3 16 11
1 16 53
10 16 24
5 24 16
8 56 76
8 33 44
1 11 56
5 37 66
4 23 44
1 23 8
7 22 54
5 14 52
7 82 15
2 3 4
7 74 21
4 3 48
4 16 45
10 59 3
4 70 63
4 12 10
7 6 1
5 31 56
4 36 56
8 3 79
7 33 86
8 9 42
5 51 46
4 52 42
1 42 11
7 9 31
7 23 45
3 14 35
10 23 9
5 4 61
7 9 55
8 19 37
2 40 9
8 35 67
7 9 48
5 31 71
8 20 60
4 66 61
5 37 67
7 47 2
5 44 43
5 60 37
1 37 19
4 24 50
4 25 26
5 39 22
7 38 77
7 16 85
5 68 64
5 35 10
7 21 87
7 40 78
10 54 17
8 12 79
1 12 31
7 2 24
8 82 33
1 29 69
8 34 74
7 60 78
5 52 11
7 33 10
7 46 81
8 18 56
4 51 62
7 76 70
4 65 24
1 8 54
5 15 39
7 83 47
8 64 40
7 62 81
7 1 65
7 57 56
8 81 36
5 58 31
1 19 6
5 50 50
2 31 33
3 27 16
7 71 8
7 19 52
1 33 15
5 55 23
8 10 10
3 4 19
7 54 35
8 36 23
4 55 2
5 16 14
5 27 59
10 50 21
7 18 15
10 50 44
1 2 34
8 53 38
7 21 74
4 58 34
7 78 9
7 70 8
7 61 44
1 26 54
7 38 69
4 40 70
8 80 38
10 49 5
5 34 27
2 27 61
7 75 45
8 75 22
6 21 2
7 11 7
2 29 34
3 18 87
4 20 58
7 48 2
1 13 42
1 3 41
1 1 67
7 32 23
2 2 67
5 25 64
4 48 10
4 11 11
4 63 16
10 9 34
8 48 63
7 49 88
6 11 33
10 10 34
3 29 14
5 43 51
3 26 55
7 63 84
7 44 17
2 37 58
1 47 2
5 57 61
5 26 74
2 25 37
5 2 16
5 30 66
5 21 64
4 35 11
3 9 78
10 40 8
8 76 22
8 41 3
3 10 46
7 22 83
4 26 20
7 68 58
4 9 1
7 8 85
7 17 10
4 64 66
10 53 4
10 50 5
7 21 8
7 68 7
7 40 70
10 15 44
7 31 94
2 26 30
5 44 65
5 25 61
2 35 5
6 19 27
8 56 8
7 63 76
3 23 90
7 85 69
10 3 14
4 41 70
4 39 13
5 3 79
1 27 47
7 87 28
8 34 79
5 49 72
5 1 78
4 59 60
7 19 34
10 44 33
6 26 29
7 66 50
4 42 60
5 67 19
2 34 66
2 11 10
7 83 67
4 23 13
5 24 5
1 15 18
3 29 71
4 70 40
7 76 19
8 31 71
8 64 73
10 7 18
1 13 25
5 39 3
5 26 41
5 23 62
7 60 71
2 3 42
8 4 18
8 18 39
5 22 74
8 38 68
7 82 63
7 89 54
7 5 88
10 6 15
7 17 33
2 37 36
5 18 49
4 24 14
2 32 13
8 35 53
6 10 28
5 34 14
2 4 21
5 45 28
4 31 56
4 16 67
5 20 4
1 47 15
7 9 37
5 50 15
1 8 22
1 28 23
1 40 45
8 8 37
2 3 76
8 70 17
4 69 47
5 22 27
7 38 28
6 23 4
10 52 32
4 8 28
2 8 55
3 28 68
7 71 38
8 41 38
4 37 3
2 23 35
8 79 69
7 70 75
3 9 69
7 83 32
4 24 51
5 15 73
8 68 57
8 77 74
8 36 80
7 48 25
8 25 36
2 22 17
8 84 54
4 59 70
3 22 43
10 11 35
7 67 94
2 20 42
4 9 55
7 58 81
6 23 17
6 21 25
2 21 29
2 21 34
4 26 25
5 63 3
8 36 67
1 36 54
4 47 36
3 11 14
4 11 35
7 50 31
8 23 46
4 10 2
6 41 30
7 84 57
7 29 23
1 47 1
6 23 30
8 16 10
6 24 33
4 57 1
8 64 68
7 9 45
7 30 70
10 39 25
1 33 4
8 65 48
4 54 60
4 30 40
7 57 97
8 15 15
4 29 33
8 76 25
4 48 31
8 72 64
1 45 5
1 35 49
4 6 29
5 43 53
5 19 50
6 37 35
8 57 35
8 79 21
7 51 64
5 18 21
4 68 25
4 2 68
5 41 24
10 27 40
3 12 32
2 29 80
5 70 27
8 33 9
7 10 93
2 7 74
7 8 1
5 6 46
1 35 41
4 17 7
7 86 31
10 42 35
7 41 12
2 5 19
4 45 4
7 61 84
4 36 60
7 12 20
1 26 44
7 32 24
1 31 15
7 55 49
10 55 9
3 12 86
2 40 3
5 53 17
4 58 66
4 48 40
7 12 70
8 61 12
5 51 68
5 68 48
4 69 53
4 27 69
5 25 79
3 29 82
10 25 42
1 10 11
5 56 38
8 35 7
7 88 64
3 7 27
10 32 14
4 19 11
4 3 20
5 59 4
8 48 18
3 5 75
8 58 1
5 67 17
7 30 29
6 44 19
7 72 24
7 21 61
4 14 6
5 35 3
6 8 18
2 1 62
2 26 21
1 22 38
1 25 25
8 10 24
10 14 35
10 3 33
8 64 25
2 18 25
7 13 49
2 22 5
5 24 76
4 38 70
2 26 54
3 22 90
5 26 22
6 3 38
7 90 30
8 46 62
8 7 57
2 29 48
7 69 26
7 12 28
4 61 27
8 71 77
8 65 29
5 38 23
4 11 21
7 52 62
8 78 35
1 11 44
8 79 19
5 70 55
2 37 20
2 20 73
7 53 66
7 12 24
2 40 19
2 17 49
7 7 82
3 11 61
5 66 77
5 67 30
4 68 26
5 6 61
4 39 7
1 26 10
8 58 34
7 25 5
4 55 49
10 43 39
10 35 43
1 36 7
8 31 74
7 1 28
3 21 45
8 72 2
1 32 35
10 56 19
5 1 28
5 70 62
7 13 60
8 23 52
5 38 31
5 56 42
5 10 42
6 12 29
8 15 53
5 54 76
3 27 86
7 58 63
7 49 100
1 6 62
2 39 31
2 16 41
2 17 64
5 65 75
6 43 42
5 7 59
4 55 8
2 10 12
3 23 30
7 68 19
5 24 33
6 8 24
7 64 12
1 11 37
9 2 19
7 59 24
6 43 3
7 68 57
4 21 12
7 52 76
8 45 55
10 55 16
4 23 68
4 34 58
7 65 85
5 60 65
8 29 46
8 36 2
8 9 13
4 34 20
6 43 25
1 16 9
3 9 86
4 4 65
5 40 48
5 35 37
3 20 6
5 1 44
2 2 76
7 50 20
7 79 33
10 29 7
4 52 12
10 24 12
5 35 20
5 17 36
4 35 68
5 32 28
2 17 33
3 15 5
2 37 13
3 2 61
4 14 37
7 50 14
1 43 12
4 24 59
3 10 81
2 17 9
10 16 26
5 17 13
2 28 70
4 62 7
5 26 66
8 63 57
4 1 23
8 59 24
1 45 23
5 40 36
7 56 18
8 4 43
5 55 22
4 21 8
3 28 27
3 16 70
4 52 31
7 49 11
1 10 40
3 13 68
7 10 61
2 35 47
5 33 7
4 31 10
3 28 18
5 40 31
6 36 15
5 67 40
7 38 3
7 21 85
7 55 30
8 54 76
1 49 49
1 31 39
4 16 29
1 28 26
7 27 91
10 5 18
7 38 49
3 28 56
2 6 67
3 1 13
5 63 30
10 50 32
7 31 50
3 12 37
7 22 85
4 61 55
4 10 51
7 8 8
4 69 31
4 41 1
4 13 40
8 84 25
3 10 23
5 38 53
5 43 35
8 38 76
8 42 7
6 9 1
8 4 73
6 3 16
6 18 27
2 23 11
1 6 50
7 17 8
5 43 10
1 26 61
5 47 62
7 48 70
5 13 49
3 22 25
4 22 5
2 18 33
3 5 28
3 31 15
2 29 79
7 80 11
1 6 53
4 70 50
6 15 8
4 12 26
4 28 7
2 37 51
6 27 44
2 40 78
5 23 51
2 5 46
4 59 34
7 57 59
1 50 62
7 3 85
3 35 5
3 7 35
4 12 4
7 42 9
2 26 9
8 53 37
1 30 15
7 22 38
9 11 4
7 58 22
7 41 57
1 28 70
2 18 67
3 2 62
8 18 40
8 32 33
10 23 2
4 23 12
4 42 25
6 39 18
8 21 10
8 18 69
7 79 43
7 16 75
5 36 76
7 25 82
1 25 61
8 13 18
5 11 33
5 58 68
6 17 28
8 27 44
7 17 38
1 36 30
4 30 60
10 16 10
7 33 81
4 38 58
1 14 23
8 5 38
7 74 96
4 34 59
7 5 15
10 10 11
10 25 41
8 32 24
7 30 75
5 2 8
7 9 9
7 72 57
4 49 58
3 13 35
4 28 66
5 61 79
7 58 72
7 34 59
8 5 1
5 35 57
8 29 34
7 52 49
2 36 71
8 29 42
7 89 44
1 34 57
4 67 23
7 78 79
3 20 54
4 29 58
7 20 97
4 50 26
3 29 72
7 85 84
1 8 24
3 1 90
2 9 76
3 8 77
6 38 34
10 45 15
7 48 23
5 36 41
3 23 45
3 22 4
7 82 85
7 67 23
3 25 66
5 10 1
5 31 19
7 57 61
5 65 57
9 4 16
8 65 66
6 14 50
5 61 22
10 25 39
8 37 65
4 51 59
2 14 7
3 31 44
5 30 61
1 19 29
8 40 21
1 42 3
1 3 40
1 47 34
8 42 54
10 7 45
2 24 11
10 44 11
1 26 3
10 60 15
7 20 49
8 24 50
4 8 24
10 34 17
4 50 8
4 21 69
7 59 16
8 49 38
4 60 18
7 53 4
7 53 61
5 60 2
8 23 77
7 9 91
2 23 34
4 16 66
8 15 33
4 40 28
2 7 60
10 16 3
1 13 40
8 55 71
3 34 6
8 25 13
1 46 53
7 20 51
8 6 13
8 50 44
6 25 41
5 37 36
3 5 33
7 26 67
8 9 60
4 66 17
3 19 48
8 69 34
4 17 31
8 33 30
2 4 80
6 43 48
10 20 11
8 54 64
3 21 87
10 55 29
6 3 4
1 44 22
7 14 99
7 80 26
10 25 18
7 5 44
8 11 10
8 41 37
7 64 4
1 32 36
10 10 2
1 49 64
4 26 47
1 46 51
1 15 25
1 37 66
3 19 73
10 31 7
8 11 67
1 18 19
5 34 66
4 30 47
7 32 96
8 69 2
2 3 3
5 68 9
5 42 49
3 15 84
7 15 4
8 45 49
2 30 60
8 16 46
8 16 52
4 5 47
5 63 78
10 40 26
8 59 42
8 3 37
4 63 62
5 21 22
10 42 38
8 40 15
8 3 6
7 24 74
8 46 17
4 19 47
5 68 16
5 37 73
1 19 36
7 66 10
2 32 37
8 37 68
8 13 79
1 4 13
1 49 22
8 19 30
5 23 22
4 38 11
1 28 20
1 36 1
5 23 69
7 31 11
8 52 22
7 77 57
8 83 14
5 47 25
10 18 6
8 9 7
8 17 51
3 21 22
10 15 14
5 53 11
8 2 59
8 72 26
7 65 37
8 34 11
7 7 59
4 63 61
6 5 9
8 74 72
2 38 67
8 23 75
10 3 3
1 37 27
2 9 17
8 27 37
7 19 65
2 3 46
1 46 64
2 8 2
2 19 51
7 15 11
5 13 70
5 21 18
7 82 33
10 49 40
7 52 93
1 2 43
7 22 87
3 18 12
7 52 67
1 3 55
7 14 47
3 2 89
8 25 27
10 19 21
3 27 17
3 22 53
8 47 67
2 9 31
8 25 5
5 64 61
7 26 57
7 63 24
7 87 89
8 57 10
4 6 23
3 22 8
7 32 35
1 37 37
2 14 80
2 1 22
3 1 65
8 37 12
5 34 42
7 53 98
3 32 90
7 36 88
8 58 61
2 23 67
7 83 45
7 71 69
4 2 16
5 66 51
8 14 53
4 48 1
8 78 45
5 33 60
7 20 68
4 47 41
3 2 17
3 21 23
8 67 57
5 61 7
2 11 46
7 54 75
10 42 32
8 39 20
4 53 70
8 39 63
8 40 24
8 83 49
5 17 14
5 23 23
5 51 29
7 61 60
4 42 52
4 56 44
8 14 66
4 2 25
5 15 30
6 38 9
7 58 45
2 37 56
2 35 62
7 38 1
2 9 30
2 5 1
8 15 19
1 38 3
8 67 50
7 60 39
7 29 52
1 10 57
6 41 13
3 9 88
3 27 9
7 74 11
3 23 46
3 33 7
4 27 26
7 87 19
5 22 35
1 10 36
6 30 12
10 20 36
7 84 42
1 3 61
3 6 29
1 40 3
6 9 18
1 25 24
5 57 16
8 39 47
1 29 55
3 16 13
8 34 56
10 44 24
4 28 10
4 70 47
4 4 63
8 21 19
10 12 6
2 20 38
4 26 46
7 90 23
7 78 51
6 40 43
5 24 21
8 41 44
4 55 43
2 12 17
7 1 78
5 42 67
7 13 3
7 52 36
3 12 25
2 13 10
5 14 63
7 57 5
1 2 15
2 32 33
7 74 39
5 2 20
7 35 15
6 9 2
1 33 43
8 59 36
8 41 2
8 38 14
1 30 70
1 33 16
7 60 77
4 1 46
8 73 33
4 3 9
10 9 12
7 44 1
7 73 65
2 16 62
4 43 45
3 21 47
5 12 42
2 18 61
8 52 48
8 4 27
1 23 55
8 8 18
8 35 10
5 5 58
6 14 18
5 59 31
4 28 3
10 5 10
4 27 52
4 23 67
6 41 32
4 63 48
3 9 64
7 2 99
5 55 31
4 56 39
10 14 14
10 23 15
7 21 33
5 57 6
7 82 82
1 13 51
8 35 38
7 67 21
8 69 49
7 12 89
8 9 30
5 24 78
5 30 7
2 8 69
5 41 23
5 41 42
4 30 21
1 5 68
10 31 36
1 19 48
1 24 4
8 60 61
7 49 69
4 58 40
5 69 47
10 43 43
1 4 57
4 29 7
8 19 5
3 29 49
5 63 57
5 40 45
8 58 75
4 47 5
5 43 47
1 7 54
3 34 2
5 38 80
7 54 83
8 59 32
7 34 62
7 55 46
2 21 60
8 13 21
2 39 12
3 1 70
4 35 39
1 26 59
5 23 27
8 19 51
4 57 27
1 29 4
6 5 11
2 29 57
3 5 15
5 10 15
7 54 42
8 52 16
3 30 13
4 43 26
10 36 22
8 41 56
1 22 20
8 38 50
5 31 29
7 22 82
1 15 67
4 66 62
1 29 11
8 14 33
3 7 70
8 81 47
2 20 23
6 23 31
1 43 26
2 31 39
2 3 77
4 20 70
2 39 25
5 15 26
8 17 75
10 32 30
3 14 63
2 15 2
2 5 15
3 31 30
10 49 26
7 80 3
8 29 77
5 24 14
7 86 22
4 3 43
4 2 70
8 55 51
8 14 56
7 68 88
4 15 50
8 40 31
4 7 37
1 44 20
2 18 9
7 58 32
8 75 76
10 18 17
6 1 41
4 24 32
3 25 3
6 35 29
5 55 47
1 2 50
5 28 59
1 4 32
6 12 14
8 8 5
8 24 66
7 30 90
1 7 51
2 26 58
4 39 37
8 1 1
8 35 29
2 30 64
8 1 23
8 47 73
8 3 27
8 31 73
1 15 5
3 12 31
10 41 20
7 14 45
4 31 32
4 14 12
4 60 68
6 26 19
4 51 64
4 52 2
1 29 64
7 29 18
4 56 9
8 70 26
8 66 34
7 70 41
8 43 22
7 66 45
7 71 34
8 64 21
8 74 56
8 50 45
7 7 30
8 38 64
8 48 70
2 2 38
4 43 38
7 57 80
6 35 19
8 57 23
8 22 22
3 16 47
1 22 7
5 18 36
5 39 2
7 72 53
3 29 39
7 67 46
4 30 7
7 25 6
8 38 73
2 10 72
8 50 48
8 43 6
7 42 67
4 69 65
6 23 18
7 31 100
7 28 89
7 27 53
2 38 46
3 2 83
10 44 25
7 50 18
10 1 43
8 71 35
7 61 87
1 35 28
7 56 80
8 14 6
7 1 53
3 6 58
8 25 24
8 10 16
7 58 84
4 59 11
5 16 37
7 73 32
10 26 13
8 60 4
5 35 67
7 31 81
4 35 49
3 30 2
5 11 26
5 2 43
5 56 26
4 46 48
2 7 40
8 82 10
3 16 90
8 3 2
1 45 13
7 87 62
1 19 52
4 44 54
1 32 54
4 34 37
5 38 34
2 6 77
5 31 1
4 51 31
8 15 40
1 31 57
5 4 22
3 7 57
1 18 25
6 8 48
10 31 24
1 36 29
1 50 13
6 8 44
4 47 68
8 84 67
1 47 54
1 35 30
5 24 40
1 15 38
7 40 42
10 9 20
4 62 33
7 47 56
6 29 39
5 20 44
1 33 58
1 32 3
4 61 15
1 14 39
7 21 77
8 6 55
8 42 32
7 85 56
2 7 51
4 8 58
3 14 56
4 37 63
4 67 40
2 4 46
7 38 24
1 26 17
8 79 20
10 20 20
5 67 78
5 24 1
4 31 61
7 17 36
2 37 3
7 85 64
7 4 73
8 62 61
5 59 58
3 12 67
7 17 11
8 81 35
7 65 57
10 23 40
6 45 33
4 63 47
4 38 30
1 10 17
8 27 55
10 48 10
4 36 51
8 25 15
7 61 46
8 59 28
4 4 35
5 65 42
4 50 2
1 36 40
8 31 59
8 9 73
7 78 25
1 2 47
4 40 21
3 33 4
1 40 11
7 15 61
2 15 70
2 23 10
7 29 74
5 69 60
2 25 68
1 39 5
1 33 69
8 58 69
4 45 30
7 28 95
7 28 57
7 32 94
7 35 56
1 43 51
8 10 20
7 34 5
2 36 77
1 7 53
5 60 12
1 43 5
6 31 31
7 83 40
2 9 15
8 12 14
4 44 53
1 27 16
2 22 1
2 13 18
2 30 16
8 23 8
7 62 4
1 4 5
1 34 6
4 15 57
7 63 46
8 73 43
8 84 44
7 42 47
3 16 80
4 9 57
7 89 16
1 35 19
5 45 26
7 71 94
4 45 1
5 27 25
8 75 24
4 70 52
5 50 40
5 11 19
8 62 60
4 19 10
2 38 10
3 12 81
5 55 74
8 79 56
5 28 26
7 9 76
1 50 18
3 1 57
4 55 19
4 55 46
7 84 24
1 3 27
8 59 73
7 14 59
7 20 15
2 37 32
6 42 22
8 2 33
2 9 18
7 30 97
6 19 37
7 46 46
5 2 76
2 16 4
8 65 45
8 80 61
7 6 38
8 20 8
7 75 79
5 33 10
5 57 20
5 13 73
6 15 33
10 32 25
8 51 75
2 31 78
4 65 52
8 39 65
5 23 73
1 15 23
4 27 51
1 48 69
8 22 40
5 7 58
5 40 77
10 41 15
7 13 92
6 30 28
8 81 2
5 28 15
7 60 49
8 44 24
7 4 36
6 33 33
1 40 35
5 63 61
5 10 57
7 71 40
3 3 37
10 36 38
7 56 76
10 26 1
10 59 19
